Hash: 1814, Sign: 1033026, AesGcm: 10190
Hash: 1981, Sign: 1169826, AesGcm: 11607
Hash: 2021, Sign: 1118218, AesGcm: 10852
Hash: 1715, Sign: 1103902, AesGcm: 10631
Hash: 2606, Sign: 5192844, AesGcm: 11617
Hash: 2027, Sign: 1095968, AesGcm: 10692
Hash: 1934, Sign: 1112829, AesGcm: 18136
Hash: 1875, Sign: 1032054, AesGcm: 22354
Hash: 1911, Sign: 1118564, AesGcm: 15541
Hash: 2753, Sign: 3347666, AesGcm: 12108
Hash: 2185, Sign: 1116188, AesGcm: 11603
Hash: 1913, Sign: 1082670, AesGcm: 11414
Hash: 1846, Sign: 1131290, AesGcm: 11419
Hash: 1917, Sign: 1042156, AesGcm: 10446
Hash: 1946, Sign: 1103485, AesGcm: 11115
Hash: 1793, Sign: 1084027, AesGcm: 10312
Hash: 1913, Sign: 1114203, AesGcm: 11154
Hash: 1881, Sign: 1091139, AesGcm: 11112
Hash: 1921, Sign: 1086764, AesGcm: 11338
Hash: 1949, Sign: 1093430, AesGcm: 12655
Hash: 1884, Sign: 1071460, AesGcm: 10257
Hash: 2633, Sign: 8461541, AesGcm: 10955
Hash: 2089, Sign: 1080554, AesGcm: 11429
Hash: 2743, Sign: 2160110, AesGcm: 11964
Hash: 2026, Sign: 1135580, AesGcm: 11061
Hash: 1906, Sign: 1125215, AesGcm: 22777
Hash: 1893, Sign: 1152840, AesGcm: 11483
Hash: 1815, Sign: 1045959, AesGcm: 10800
Hash: 1734, Sign: 1127243, AesGcm: 11009
Hash: 2056, Sign: 1116524, AesGcm: 10220
Hash: 1904, Sign: 1072593, AesGcm: 10961
Hash: 1900, Sign: 1098822, AesGcm: 10867
Hash: 1890, Sign: 1021860, AesGcm: 25085
Hash: 1945, Sign: 1088542, AesGcm: 10816
Hash: 1930, Sign: 1129110, AesGcm: 24538
Hash: 1981, Sign: 1344157, AesGcm: 10620
Hash: 1828, Sign: 1081995, AesGcm: 11257
Hash: 1996, Sign: 1141231, AesGcm: 10856
Hash: 1874, Sign: 1091876, AesGcm: 11442
Hash: 2693, Sign: 5129578, AesGcm: 11770
Hash: 1957, Sign: 1521102, AesGcm: 11495
Hash: 2055, Sign: 1084276, AesGcm: 11265
Hash: 1977, Sign: 1153498, AesGcm: 11125
Hash: 1996, Sign: 1123925, AesGcm: 13161
Hash: 1985, Sign: 1066003, AesGcm: 10297
Hash: 2178, Sign: 1149061, AesGcm: 11373
Hash: 1909, Sign: 1088922, AesGcm: 26029
Hash: 2024, Sign: 1182689, AesGcm: 11616
Hash: 2210, Sign: 1071547, AesGcm: 11317
Hash: 1778, Sign: 1142312, AesGcm: 10279
Hash: 1851, Sign: 1185442, AesGcm: 11720
Hash: 1919, Sign: 1065241, AesGcm: 25192
Hash: 2079, Sign: 1185385, AesGcm: 23342
Hash: 1894, Sign: 1143783, AesGcm: 10756
Hash: 2150, Sign: 1181506, AesGcm: 11119
Hash: 1876, Sign: 1118282, AesGcm: 10565
Hash: 1993, Sign: 1197072, AesGcm: 10775
Hash: 1981, Sign: 1007242, AesGcm: 9999
Hash: 1919, Sign: 1129282, AesGcm: 10597
Hash: 1732, Sign: 1089388, AesGcm: 9842
Hash: 1806, Sign: 1075340, AesGcm: 10727
Hash: 1712, Sign: 1074733, AesGcm: 10742
Hash: 2056, Sign: 1074516, AesGcm: 10564
Hash: 1888, Sign: 1091641, AesGcm: 10693
Hash: 2014, Sign: 1084335, AesGcm: 13494
Hash: 1773, Sign: 1191142, AesGcm: 10137
Hash: 1775, Sign: 1051068, AesGcm: 10068
Hash: 1831, Sign: 1092010, AesGcm: 11006
Hash: 2078, Sign: 1121311, AesGcm: 10812
Hash: 2055, Sign: 1109945, AesGcm: 10647
Hash: 1986, Sign: 1109930, AesGcm: 10651
Hash: 2037, Sign: 1193062, AesGcm: 10886
Hash: 1900, Sign: 1173881, AesGcm: 10417
Hash: 2003, Sign: 1117275, AesGcm: 11170
Hash: 1786, Sign: 1036137, AesGcm: 10796
Hash: 1987, Sign: 1123900, AesGcm: 10871
Hash: 1964, Sign: 1115618, AesGcm: 11110
Hash: 1852, Sign: 1138976, AesGcm: 10907
Hash: 1998, Sign: 1121556, AesGcm: 11226
Hash: 2070, Sign: 1109828, AesGcm: 11045
Hash: 1920, Sign: 1092255, AesGcm: 10665
Hash: 1988, Sign: 1118574, AesGcm: 10065
Hash: 1972, Sign: 1067010, AesGcm: 10915
Hash: 1970, Sign: 1121453, AesGcm: 10847
