chunk_compression, gcm_encryption, ecdsa_signature, lepton_compression, total_creation, dht_store, length normal ,length compressed, final_length
40.5139923096, 9.9790096283, 12.7589702606, 331.565141678, 64.7358894348, 228.210926056, 126696, 77598, 99856,
95.7999229431, 12.7668380737, 9.31096076965, 301.983833313, 119.710922241, 320.57595253, 298182, 234597, 274728,
85.7970714569, 12.3488903046, 9.14692878723, 290.019035339, 109.012126923, 321.588039398, 288036, 226449, 264687,
60.77003479, 12.1560096741, 9.09805297852, 295.580863953, 83.8670730591, 277.63915062, 284842, 223545, 261563,
88.3648395538, 11.9268894196, 8.98003578186, 304.598093033, 111.016988754, 318.682909012, 279001, 219217, 255507,
91.3770198822, 23.5509872437, 17.40193367, 293.730974197, 134.389877319, 280.548810959, 280593, 221219, 257280,
88.0279541016, 12.8660202026, 9.33599472046, 305.93585968, 111.969947815, 307.940006256, 300203, 235371, 276814,
95.8399772644, 24.2619514465, 18.1560516357, 316.170930862, 140.462875366, 299.921989441, 288627, 227445, 265251,
27.1210670471, 6.3488483429, 11.4350318909, 254.461050034, 46.2989807129, 199.486970901, 86778, 43630, 57594,
25.8131027222, 6.04295730591, 11.4169120789, 290.663003922, 44.7061061859, 195.528030396, 83317, 40972, 54215,
19.6270942688, 4.79412078857, 11.0459327698, 214.725971222, 36.88788414, 182.307958603, 69272, 30007, 40351,
18.2161331177, 4.53114509583, 10.8699798584, 227.395057678, 35.0029468536, 166.877985001, 66084, 27578, 37255,
